element,x
U.2021_vs_H.2021:P,0.001
U.2021_vs_H.2022:Df,1
U.2021_vs_H.2022:SumOfSqs,2.85287875
U.2021_vs_H.2022:R2,0.544506486
U.2021_vs_H.2022:F,44.23057483
U.2021_vs_H.2022:P,0.001
U.2021_vs_H.2023:Df,1
U.2021_vs_H.2023:SumOfSqs,1.37057871
U.2021_vs_H.2023:R2,0.429056115
U.2021_vs_H.2023:F,27.80496765
U.2021_vs_H.2023:P,0.001
U.2021_vs_H.2024:Df,1
U.2021_vs_H.2024:SumOfSqs,1.427950289
U.2021_vs_H.2024:R2,0.426576909
U.2021_vs_H.2024:F,27.52478208
U.2021_vs_H.2024:P,0.001
U.2022_vs_U.2023:Df,1
U.2022_vs_U.2023:SumOfSqs,5.32E-07
U.2022_vs_U.2023:R2,0.000460231
U.2022_vs_U.2023:F,0.017496843
U.2022_vs_U.2023:P,1
U.2022_vs_U.2024:Df,1
U.2022_vs_U.2024:SumOfSqs,0.000205721
U.2022_vs_U.2024:R2,0.023049522
U.2022_vs_U.2024:F,0.896546818
U.2022_vs_U.2024:P,0.466
U.2022_vs_L.2020:Df,1
U.2022_vs_L.2020:SumOfSqs,3.33E-05
U.2022_vs_L.2020:R2,0.040524734
U.2022_vs_L.2020:F,1.562744995
U.2022_vs_L.2020:P,0.474
U.2022_vs_L.2021:Df,1
U.2022_vs_L.2021:SumOfSqs,0.002514994
U.2022_vs_L.2021:R2,0.07822402
U.2022_vs_L.2021:F,3.224767007
U.2022_vs_L.2021:P,0.054
U.2022_vs_L.2022:Df,1
U.2022_vs_L.2022:SumOfSqs,0.006045582
U.2022_vs_L.2022:R2,0.038259457
U.2022_vs_L.2022:F,1.4321331
U.2022_vs_L.2022:P,0.146
U.2022_vs_L.2023:Df,1
U.2022_vs_L.2023:SumOfSqs,0.002142108
U.2022_vs_L.2023:R2,0.040042218
U.2022_vs_L.2023:F,1.501649196
U.2022_vs_L.2023:P,0.233
U.2022_vs_L.2024:Df,1
U.2022_vs_L.2024:SumOfSqs,0.010005818
U.2022_vs_L.2024:R2,0.057905757
U.2022_vs_L.2024:F,2.212737511
U.2022_vs_L.2024:P,0.196
U.2022_vs_H.2020:Df,1
U.2022_vs_H.2020:SumOfSqs,2.56E-05
U.2022_vs_H.2020:R2,0.031487199
U.2022_vs_H.2020:F,0.975326268
U.2022_vs_H.2020:P,0.763
U.2022_vs_H.2021:Df,1
U.2022_vs_H.2021:SumOfSqs,5.456337943
U.2022_vs_H.2021:R2,0.78214205
U.2022_vs_H.2021:F,132.8354364
U.2022_vs_H.2021:P,0.001
U.2022_vs_H.2022:Df,1
U.2022_vs_H.2022:SumOfSqs,2.905182654
U.2022_vs_H.2022:R2,0.549625669
U.2022_vs_H.2022:F,45.15388283
U.2022_vs_H.2022:P,0.001
U.2022_vs_H.2023:Df,1
U.2022_vs_H.2023:SumOfSqs,1.406904653
U.2022_vs_H.2023:R2,0.43627794
U.2022_vs_H.2023:F,28.63518205
U.2022_vs_H.2023:P,0.001
U.2022_vs_H.2024:Df,1
U.2022_vs_H.2024:SumOfSqs,1.465023807
U.2022_vs_H.2024:R2,0.433619148
U.2022_vs_H.2024:F,28.32706719
U.2022_vs_H.2024:P,0.001
U.2023_vs_U.2024:Df,1
U.2023_vs_U.2024:SumOfSqs,0.000227173
U.2023_vs_U.2024:R2,0.026642328
U.2023_vs_U.2024:F,1.040119658
U.2023_vs_U.2024:P,0.457
U.2023_vs_L.2020:Df,1
U.2023_vs_L.2020:SumOfSqs,2.55E-05
U.2023_vs_L.2020:R2,0.064798548
U.2023_vs_L.2020:F,2.563668264
U.2023_vs_L.2020:P,0.214
U.2023_vs_L.2021:Df,1
U.2023_vs_L.2021:SumOfSqs,0.002588675
U.2023_vs_L.2021:R2,0.081392007
U.2023_vs_L.2021:F,3.366938106
U.2023_vs_L.2021:P,0.071
U.2023_vs_L.2022:Df,1
U.2023_vs_L.2022:SumOfSqs,0.006156473
U.2023_vs_L.2022:R2,0.039037556
U.2023_vs_L.2022:F,1.462442192
U.2023_vs_L.2022:P,0.146
U.2023_vs_L.2023:Df,1
U.2023_vs_L.2023:SumOfSqs,0.00220832
U.2023_vs_L.2023:R2,0.041554598
U.2023_vs_L.2023:F,1.560824999
U.2023_vs_L.2023:P,0.174
U.2023_vs_L.2024:Df,1
U.2023_vs_L.2024:SumOfSqs,0.010148335
U.2023_vs_L.2024:R2,0.058824936
U.2023_vs_L.2024:F,2.250057183
U.2023_vs_L.2024:P,0.187
U.2023_vs_H.2020:Df,1
U.2023_vs_H.2020:SumOfSqs,1.96E-05
U.2023_vs_H.2020:R2,0.050633315
U.2023_vs_H.2020:F,1.600013444
U.2023_vs_H.2020:P,0.361
U.2023_vs_H.2021:Df,1
U.2023_vs_H.2021:SumOfSqs,5.459701659
U.2023_vs_H.2021:R2,0.782294101
U.2023_vs_H.2021:F,132.9540531
U.2023_vs_H.2021:P,0.001
U.2023_vs_H.2022:Df,1
U.2023_vs_H.2022:SumOfSqs,2.907637251
U.2023_vs_H.2022:R2,0.549878371
U.2023_vs_H.2022:F,45.2000047
U.2023_vs_H.2022:P,0.001
U.2023_vs_H.2023:Df,1
U.2023_vs_H.2023:SumOfSqs,1.408612959
U.2023_vs_H.2023:R2,0.436633223
U.2023_vs_H.2023:F,28.67657435
U.2023_vs_H.2023:P,0.001
U.2023_vs_H.2024:Df,1
U.2023_vs_H.2024:SumOfSqs,1.466767031
U.2023_vs_H.2024:R2,0.433965124
U.2023_vs_H.2024:F,28.36699693
U.2023_vs_H.2024:P,0.001
U.2024_vs_L.2020:Df,1
U.2024_vs_L.2020:SumOfSqs,0.000397011
U.2024_vs_L.2020:R2,0.047666396
U.2024_vs_L.2020:F,1.851931539
U.2024_vs_L.2020:P,0.267
U.2024_vs_L.2021:Df,1
U.2024_vs_L.2021:SumOfSqs,0.001282124
U.2024_vs_L.2021:R2,0.033684482
U.2024_vs_L.2021:F,1.324629787
U.2024_vs_L.2021:P,0.289
U.2024_vs_L.2022:Df,1
U.2024_vs_L.2022:SumOfSqs,0.004069537
U.2024_vs_L.2022:R2,0.024938374
U.2024_vs_L.2022:F,0.920743291
U.2024_vs_L.2022:P,0.463
U.2024_vs_L.2023:Df,1
U.2024_vs_L.2023:SumOfSqs,0.001044744
U.2024_vs_L.2023:R2,0.017545949
U.2024_vs_L.2023:F,0.642935068
U.2024_vs_L.2023:P,0.533
U.2024_vs_L.2024:Df,1
U.2024_vs_L.2024:SumOfSqs,0.007407816
U.2024_vs_L.2024:R2,0.041771521
U.2024_vs_L.2024:F,1.569327984
U.2024_vs_L.2024:P,0.347
U.2024_vs_H.2020:Df,1
U.2024_vs_H.2020:SumOfSqs,0.000305594
U.2024_vs_H.2020:R2,0.037097759
U.2024_vs_H.2020:F,1.155810758
U.2024_vs_H.2020:P,0.455
U.2024_vs_H.2021:Df,1
U.2024_vs_H.2021:SumOfSqs,5.390396135
U.2024_vs_H.2021:R2,0.779257432
U.2024_vs_H.2021:F,130.6160624
U.2024_vs_H.2021:P,0.001
U.2024_vs_H.2022:Df,1
U.2024_vs_H.2022:SumOfSqs,2.857120015
U.2024_vs_H.2022:R2,0.54474983
U.2024_vs_H.2022:F,44.27399498
U.2024_vs_H.2022:P,0.001
U.2024_vs_H.2023:Df,1
U.2024_vs_H.2023:SumOfSqs,1.373518912
U.2024_vs_H.2023:R2,0.429419443
U.2024_vs_H.2023:F,27.84623341
U.2024_vs_H.2023:P,0.001
U.2024_vs_H.2024:Df,1
U.2024_vs_H.2024:SumOfSqs,1.430951365
U.2024_vs_H.2024:R2,0.426937118
U.2024_vs_H.2024:F,27.56534034
U.2024_vs_H.2024:P,0.001
L.2020_vs_L.2021:Df,1
L.2020_vs_L.2021:SumOfSqs,0.003054756
L.2020_vs_L.2021:R2,0.09575005
L.2020_vs_L.2021:F,3.917890005
L.2020_vs_L.2021:P,0.004
L.2020_vs_L.2022:Df,1
L.2020_vs_L.2022:SumOfSqs,0.006792906
L.2020_vs_L.2022:R2,0.042999829
L.2020_vs_L.2022:F,1.572616247
L.2020_vs_L.2022:P,0.047
L.2020_vs_L.2023:Df,1
L.2020_vs_L.2023:SumOfSqs,0.002635155
L.2020_vs_L.2023:R2,0.049531333
L.2020_vs_L.2023:F,1.823938767
L.2020_vs_L.2023:P,0.122
L.2020_vs_L.2024:Df,1
L.2020_vs_L.2024:SumOfSqs,0.010904005
L.2020_vs_L.2024:R2,0.063063356
L.2020_vs_L.2024:F,2.35578092
L.2020_vs_L.2024:P,0.094
L.2020_vs_H.2020:Df,1
L.2020_vs_H.2020:SumOfSqs,0
L.2020_vs_H.2020:R2,NA
L.2020_vs_H.2020:F,NA
L.2020_vs_H.2020:P,NA
L.2020_vs_H.2021:Df,1
L.2020_vs_H.2021:SumOfSqs,5.346231541
L.2020_vs_H.2021:R2,0.778737716
L.2020_vs_H.2021:F,126.7028307
L.2020_vs_H.2021:P,0.001
L.2020_vs_H.2022:Df,1
L.2020_vs_H.2022:SumOfSqs,2.851754093
L.2020_vs_H.2022:R2,0.545108823
L.2020_vs_H.2022:F,43.13980717
L.2020_vs_H.2022:P,0.001
L.2020_vs_H.2023:Df,1
L.2020_vs_H.2023:SumOfSqs,1.38510384
L.2020_vs_H.2023:R2,0.432547373
L.2020_vs_H.2023:F,27.44141917
L.2020_vs_H.2023:P,0.001
L.2020_vs_H.2024:Df,1
L.2020_vs_H.2024:SumOfSqs,1.442042751
L.2020_vs_H.2024:R2,0.429841142
L.2020_vs_H.2024:F,27.14029769
L.2020_vs_H.2024:P,0.001
L.2021_vs_L.2022:Df,1
L.2021_vs_L.2022:SumOfSqs,0.000837592
L.2021_vs_L.2022:R2,0.004630946
L.2021_vs_L.2022:F,0.167489689
L.2021_vs_L.2022:P,0.852
L.2021_vs_L.2023:Df,1
L.2021_vs_L.2023:SumOfSqs,6.40E-06
L.2021_vs_L.2023:R2,8.05E-05
L.2021_vs_L.2023:F,0.002899864
L.2021_vs_L.2023:P,0.954
L.2021_vs_L.2024:Df,1
L.2021_vs_L.2024:SumOfSqs,0.002623175
L.2021_vs_L.2024:R2,0.013558321
L.2021_vs_L.2024:F,0.494808314
L.2021_vs_L.2024:P,0.493
L.2021_vs_H.2020:Df,1
L.2021_vs_H.2020:SumOfSqs,0.002351358
L.2021_vs_H.2020:R2,0.075363943
L.2021_vs_H.2020:F,2.445198065
L.2021_vs_H.2020:P,0.053
L.2021_vs_H.2021:Df,1
L.2021_vs_H.2021:SumOfSqs,5.227524145
L.2021_vs_H.2021:R2,0.771545363
L.2021_vs_H.2021:F,124.9577546
L.2021_vs_H.2021:P,0.001
L.2021_vs_H.2022:Df,1
L.2021_vs_H.2022:SumOfSqs,2.738882806
L.2021_vs_H.2022:R2,0.532079255
L.2021_vs_H.2022:F,42.07321995
L.2021_vs_H.2022:P,0.001
L.2021_vs_H.2023:Df,1
L.2021_vs_H.2023:SumOfSqs,1.291922118
L.2021_vs_H.2023:R2,0.411719656
L.2021_vs_H.2023:F,25.89518323
L.2021_vs_H.2023:P,0.001
L.2021_vs_H.2024:Df,1
L.2021_vs_H.2024:SumOfSqs,1.347640242
L.2021_vs_H.2024:R2,0.409707584
L.2021_vs_H.2024:F,25.68079856
L.2021_vs_H.2024:P,0.001
L.2022_vs_L.2023:Df,1
L.2022_vs_L.2023:SumOfSqs,0.000940868
L.2022_vs_L.2023:R2,0.004641914
L.2022_vs_L.2023:F,0.158561091
L.2022_vs_L.2023:P,0.698
L.2022_vs_L.2024:Df,1
L.2022_vs_L.2024:SumOfSqs,0.000471398
L.2022_vs_L.2024:R2,0.001502919
L.2022_vs_L.2024:F,0.051176162
L.2022_vs_L.2024:P,0.965
L.2022_vs_H.2020:Df,1
L.2022_vs_H.2020:SumOfSqs,0.005291316
L.2022_vs_H.2020:R2,0.033816033
L.2022_vs_H.2020:F,0.979988229
L.2022_vs_H.2020:P,0.512
L.2022_vs_H.2021:Df,1
L.2022_vs_H.2021:SumOfSqs,4.832579995
L.2022_vs_H.2021:R2,0.743155562
L.2022_vs_H.2021:F,101.2692541
L.2022_vs_H.2021:P,0.001
L.2022_vs_H.2022:Df,1
L.2022_vs_H.2022:SumOfSqs,2.506895525
L.2022_vs_H.2022:R2,0.497611646
L.2022_vs_H.2022:F,34.66722004
L.2022_vs_H.2022:P,0.001
L.2022_vs_H.2023:Df,1
L.2022_vs_H.2023:SumOfSqs,1.163102307
L.2022_vs_H.2023:R2,0.371434153
L.2022_vs_H.2023:F,20.68231264
L.2022_vs_H.2023:P,0.001
L.2022_vs_H.2024:Df,1
L.2022_vs_H.2024:SumOfSqs,1.214608739
L.2022_vs_H.2024:R2,0.370468442
L.2022_vs_H.2024:F,20.59689509
L.2022_vs_H.2024:P,0.001
L.2023_vs_L.2024:Df,1
L.2023_vs_L.2024:SumOfSqs,0.002744219
L.2023_vs_L.2024:R2,0.012745288
L.2023_vs_L.2024:F,0.438934143
L.2023_vs_L.2024:P,0.491
L.2023_vs_H.2020:Df,1
L.2023_vs_H.2020:SumOfSqs,0.002052647
L.2023_vs_H.2020:R2,0.039009417
L.2023_vs_H.2020:F,1.136601842
L.2023_vs_H.2020:P,0.451
L.2023_vs_H.2021:Df,1
L.2023_vs_H.2021:SumOfSqs,4.97021683
L.2023_vs_H.2021:R2,0.759994647
L.2023_vs_H.2021:F,110.8300807
L.2023_vs_H.2021:P,0.001
L.2023_vs_H.2022:Df,1
L.2023_vs_H.2022:SumOfSqs,2.606297718
L.2023_vs_H.2022:R2,0.51746734
L.2023_vs_H.2022:F,37.53395035
L.2023_vs_H.2022:P,0.001
L.2023_vs_H.2023:Df,1
L.2023_vs_H.2023:SumOfSqs,1.231117918
L.2023_vs_H.2023:R2,0.397290884
L.2023_vs_H.2023:F,23.07113096
L.2023_vs_H.2023:P,0.001
L.2023_vs_H.2024:Df,1
L.2023_vs_H.2024:SumOfSqs,1.284092863
L.2023_vs_H.2024:R2,0.395416485
L.2023_vs_H.2024:F,22.89109216
L.2023_vs_H.2024:P,0.001
L.2024_vs_H.2020:Df,1
L.2024_vs_H.2020:SumOfSqs,0.008493646
L.2024_vs_H.2020:R2,0.049817507
L.2024_vs_H.2020:F,1.468023478
L.2024_vs_H.2020:P,0.371
L.2024_vs_H.2021:Df,1
L.2024_vs_H.2021:SumOfSqs,4.736324482
L.2024_vs_H.2021:R2,0.738050166
L.2024_vs_H.2021:F,98.61336963
L.2024_vs_H.2021:P,0.001
L.2024_vs_H.2022:Df,1
L.2024_vs_H.2022:SumOfSqs,2.43770368
L.2024_vs_H.2022:R2,0.489549568
L.2024_vs_H.2022:F,33.56689277
L.2024_vs_H.2022:P,0.001
L.2024_vs_H.2023:Df,1
L.2024_vs_H.2023:SumOfSqs,1.116126859
L.2024_vs_H.2023:R2,0.360596233
L.2024_vs_H.2023:F,19.73849517
L.2024_vs_H.2023:P,0.001
L.2024_vs_H.2024:Df,1
L.2024_vs_H.2024:SumOfSqs,1.166593832
L.2024_vs_H.2024:R2,0.359906551
L.2024_vs_H.2024:F,19.67951599
L.2024_vs_H.2024:P,0.001
H.2020_vs_H.2021:Df,1
H.2020_vs_H.2021:SumOfSqs,4.139017967
H.2020_vs_H.2021:R2,0.731528637
H.2020_vs_H.2021:F,79.0189697
H.2020_vs_H.2021:P,0.001
H.2020_vs_H.2022:Df,1
H.2020_vs_H.2022:SumOfSqs,2.20780962
H.2020_vs_H.2022:R2,0.481257251
H.2020_vs_H.2022:F,26.90439587
H.2020_vs_H.2022:P,0.001
H.2020_vs_H.2023:Df,1
H.2020_vs_H.2023:SumOfSqs,1.072338457
H.2020_vs_H.2023:R2,0.371123783
H.2020_vs_H.2023:F,17.11400336
H.2020_vs_H.2023:P,0.002
H.2020_vs_H.2024:Df,1
H.2020_vs_H.2024:SumOfSqs,1.116420195
H.2020_vs_H.2024:R2,0.368552254
H.2020_vs_H.2024:F,16.92620716
H.2020_vs_H.2024:P,0.001
H.2021_vs_H.2022:Df,1
H.2021_vs_H.2022:SumOfSqs,0.38872506
H.2021_vs_H.2022:R2,0.090664224
H.2021_vs_H.2022:F,3.589336466
H.2021_vs_H.2022:P,0.068
H.2021_vs_H.2023:Df,1
H.2021_vs_H.2023:SumOfSqs,1.288877908
H.2021_vs_H.2023:R2,0.278676476
H.2021_vs_H.2023:F,13.90825728
H.2021_vs_H.2023:P,0.001
H.2021_vs_H.2024:Df,1
H.2021_vs_H.2024:SumOfSqs,1.235079017
H.2021_vs_H.2024:R2,0.264647405
H.2021_vs_H.2024:F,12.95610657
H.2021_vs_H.2024:P,0.005
H.2022_vs_H.2023:Df,1
H.2022_vs_H.2023:SumOfSqs,0.261948855
H.2022_vs_H.2023:R2,0.058748416
H.2022_vs_H.2023:F,2.246947595
H.2022_vs_H.2023:P,0.148
H.2022_vs_H.2024:Df,1
H.2022_vs_H.2024:SumOfSqs,0.238010204
H.2022_vs_H.2024:R2,0.052534247
H.2022_vs_H.2024:F,1.996096325
H.2022_vs_H.2024:P,0.174
H.2023_vs_H.2024:Df,1
H.2023_vs_H.2024:SumOfSqs,0.000573435
H.2023_vs_H.2024:R2,0.000153717
H.2023_vs_H.2024:F,0.005534666
H.2023_vs_H.2024:P,0.939
