element,x
H.2021_vs_U.2024:SumOfSqs,4.019597272
H.2021_vs_U.2024:R2,0.272112278
H.2021_vs_U.2024:F,13.83201554
H.2021_vs_U.2024:P,0.001
H.2021_vs_L.2024:DF,1
H.2021_vs_L.2024:SumOfSqs,2.652246985
H.2021_vs_L.2024:R2,0.188535187
H.2021_vs_L.2024:F,8.131876377
H.2021_vs_L.2024:P,0.001
H.2021_vs_H.2024:DF,1
H.2021_vs_H.2024:SumOfSqs,1.9276308
H.2021_vs_H.2024:R2,0.151967964
H.2021_vs_H.2024:F,6.451226474
H.2021_vs_H.2024:P,0.001
U.2022_vs_L.2022:DF,1
U.2022_vs_L.2022:SumOfSqs,0.99922439
U.2022_vs_L.2022:R2,0.071282285
U.2022_vs_L.2022:F,2.763124059
U.2022_vs_L.2022:P,0.003
U.2022_vs_H.2022:DF,1
U.2022_vs_H.2022:SumOfSqs,3.205865752
U.2022_vs_H.2022:R2,0.205436612
U.2022_vs_H.2022:F,9.566454674
U.2022_vs_H.2022:P,0.001
U.2022_vs_U.2023:DF,1
U.2022_vs_U.2023:SumOfSqs,0.162478928
U.2022_vs_U.2023:R2,0.012498525
U.2022_vs_U.2023:F,0.48095519
U.2022_vs_U.2023:P,0.875
U.2022_vs_L.2023:DF,1
U.2022_vs_L.2023:SumOfSqs,0.877676835
U.2022_vs_L.2023:R2,0.061701034
U.2022_vs_L.2023:F,2.367302227
U.2022_vs_L.2023:P,0.015
U.2022_vs_H.2023:DF,1
U.2022_vs_H.2023:SumOfSqs,3.12940837
U.2022_vs_H.2023:R2,0.201066687
U.2022_vs_H.2023:F,9.31175019
U.2022_vs_H.2023:P,0.001
U.2022_vs_U.2024:DF,1
U.2022_vs_U.2024:SumOfSqs,0.057020117
U.2022_vs_U.2024:R2,0.004432931
U.2022_vs_U.2024:F,0.169201446
U.2022_vs_U.2024:P,1
U.2022_vs_L.2024:DF,1
U.2022_vs_L.2024:SumOfSqs,0.896392057
U.2022_vs_L.2024:R2,0.062399443
U.2022_vs_L.2024:F,2.395881619
U.2022_vs_L.2024:P,0.007
U.2022_vs_H.2024:DF,1
U.2022_vs_H.2024:SumOfSqs,2.718858204
U.2022_vs_H.2024:R2,0.175079554
U.2022_vs_H.2024:F,7.85280996
U.2022_vs_H.2024:P,0.001
L.2022_vs_H.2022:DF,1
L.2022_vs_H.2022:SumOfSqs,2.363866825
L.2022_vs_H.2022:R2,0.162454974
L.2022_vs_H.2022:F,6.788798113
L.2022_vs_H.2022:P,0.001
L.2022_vs_U.2023:DF,1
L.2022_vs_U.2023:SumOfSqs,1.021344392
L.2022_vs_U.2023:R2,0.074843046
L.2022_vs_U.2023:F,2.912316287
L.2022_vs_U.2023:P,0.002
L.2022_vs_L.2023:DF,1
L.2022_vs_L.2023:SumOfSqs,0.17205162
L.2022_vs_L.2023:R2,0.012929587
L.2022_vs_L.2023:F,0.445364345
L.2022_vs_L.2023:P,0.938
L.2022_vs_H.2023:DF,1
L.2022_vs_H.2023:SumOfSqs,2.074425374
L.2022_vs_H.2023:R2,0.145096987
L.2022_vs_H.2023:F,5.940316582
L.2022_vs_H.2023:P,0.001
L.2022_vs_U.2024:DF,1
L.2022_vs_U.2024:SumOfSqs,1.061666946
L.2022_vs_U.2024:R2,0.077747816
L.2022_vs_U.2024:F,3.034876381
L.2022_vs_U.2024:P,0.005
L.2022_vs_L.2024:DF,1
L.2022_vs_L.2024:SumOfSqs,0.323595495
L.2022_vs_L.2024:R2,0.023828199
L.2022_vs_L.2024:F,0.829934605
L.2022_vs_L.2024:P,0.597
L.2022_vs_H.2024:DF,1
L.2022_vs_H.2024:SumOfSqs,1.633454752
L.2022_vs_H.2024:R2,0.114776287
L.2022_vs_H.2024:F,4.538028042
L.2022_vs_H.2024:P,0.001
H.2022_vs_U.2023:DF,1
H.2022_vs_U.2023:SumOfSqs,3.332458622
H.2022_vs_U.2023:R2,0.217264738
H.2022_vs_U.2023:F,10.27013308
H.2022_vs_U.2023:P,0.001
H.2022_vs_L.2023:DF,1
H.2022_vs_L.2023:SumOfSqs,2.23549941
H.2022_vs_L.2023:R2,0.15154999
H.2022_vs_L.2023:F,6.251693803
H.2022_vs_L.2023:P,0.001
H.2022_vs_H.2023:DF,1
H.2022_vs_H.2023:SumOfSqs,0.66952143
H.2022_vs_H.2023:R2,0.054554354
H.2022_vs_H.2023:F,2.077281508
H.2022_vs_H.2023:P,0.021
H.2022_vs_U.2024:DF,1
H.2022_vs_U.2024:SumOfSqs,3.387082732
H.2022_vs_U.2024:R2,0.220494226
H.2022_vs_U.2024:F,10.46597294
H.2022_vs_U.2024:P,0.001
H.2022_vs_L.2024:DF,1
H.2022_vs_L.2024:SumOfSqs,2.170035338
H.2022_vs_L.2024:R2,0.14655033
H.2022_vs_L.2024:F,6.010033995
H.2022_vs_L.2024:P,0.001
H.2022_vs_H.2024:DF,1
H.2022_vs_H.2024:SumOfSqs,1.000864971
H.2022_vs_H.2024:R2,0.077110072
H.2022_vs_H.2024:F,3.007902137
H.2022_vs_H.2024:P,0.003
U.2023_vs_L.2023:DF,1
U.2023_vs_L.2023:SumOfSqs,0.823571115
U.2023_vs_L.2023:R2,0.059778362
U.2023_vs_L.2023:F,2.288844395
U.2023_vs_L.2023:P,0.026
U.2023_vs_H.2023:DF,1
U.2023_vs_H.2023:SumOfSqs,3.293448063
U.2023_vs_H.2023:R2,0.214772558
U.2023_vs_H.2023:F,10.12010562
U.2023_vs_H.2023:P,0.001
U.2023_vs_U.2024:DF,1
U.2023_vs_U.2024:SumOfSqs,0.054607969
U.2023_vs_U.2024:R2,0.004380219
U.2023_vs_U.2024:F,0.167180625
U.2023_vs_U.2024:P,0.994
U.2023_vs_L.2024:DF,1
U.2023_vs_L.2024:SumOfSqs,0.993652724
U.2023_vs_L.2024:R2,0.070626303
U.2023_vs_L.2024:F,2.735763783
U.2023_vs_L.2024:P,0.008
U.2023_vs_H.2024:DF,1
U.2023_vs_H.2024:SumOfSqs,2.739523068
U.2023_vs_H.2024:R2,0.180749637
U.2023_vs_H.2024:F,8.163239085
U.2023_vs_H.2024:P,0.001
L.2023_vs_H.2023:DF,1
L.2023_vs_H.2023:SumOfSqs,1.94789762
L.2023_vs_H.2023:R2,0.134350197
L.2023_vs_H.2023:F,5.432054466
L.2023_vs_H.2023:P,0.001
L.2023_vs_U.2024:DF,1
L.2023_vs_U.2024:SumOfSqs,0.923232799
L.2023_vs_U.2024:R2,0.066682533
L.2023_vs_U.2024:F,2.572084272
L.2023_vs_U.2024:P,0.013
L.2023_vs_L.2024:DF,1
L.2023_vs_L.2024:SumOfSqs,0.237537707
L.2023_vs_L.2024:R2,0.017184649
L.2023_vs_L.2024:F,0.594494246
L.2023_vs_L.2024:P,0.815
L.2023_vs_H.2024:DF,1
L.2023_vs_H.2024:SumOfSqs,1.575574912
L.2023_vs_H.2024:R2,0.108644402
L.2023_vs_H.2024:F,4.266034879
L.2023_vs_H.2024:P,0.001
H.2023_vs_U.2024:DF,1
H.2023_vs_U.2024:SumOfSqs,3.274542571
H.2023_vs_U.2024:R2,0.214244511
H.2023_vs_U.2024:F,10.08843976
H.2023_vs_U.2024:P,0.001
H.2023_vs_L.2024:DF,1
H.2023_vs_L.2024:SumOfSqs,1.726549486
H.2023_vs_L.2024:R2,0.119905007
H.2023_vs_L.2024:F,4.768434412
H.2023_vs_L.2024:P,0.001
H.2023_vs_H.2024:DF,1
H.2023_vs_H.2024:SumOfSqs,0.777629548
H.2023_vs_H.2024:R2,0.060791194
H.2023_vs_H.2024:F,2.330134648
H.2023_vs_H.2024:P,0.016
U.2024_vs_L.2024:DF,1
U.2024_vs_L.2024:SumOfSqs,0.873151983
U.2024_vs_L.2024:R2,0.062739431
U.2024_vs_L.2024:F,2.40980959
U.2024_vs_L.2024:P,0.015
U.2024_vs_H.2024:DF,1
U.2024_vs_H.2024:SumOfSqs,2.771282273
U.2024_vs_H.2024:R2,0.182842443
U.2024_vs_H.2024:F,8.278905734
U.2024_vs_H.2024:P,0.001
L.2024_vs_H.2024:DF,1
L.2024_vs_H.2024:SumOfSqs,1.395257583
L.2024_vs_H.2024:R2,0.096598997
L.2024_vs_H.2024:F,3.742485214
L.2024_vs_H.2024:P,0.001
